title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Shawshank Redemption,142 min, Crime; Drama,Frank Darabont,Stephen King;Frank Darabont;Castle Rock Entertainment,Tim Robbins;Morgan Freeman;Bob Gunton;William Sadler;Clancy Brown;Gil Bellows;Mark Rolston;James Whitmore;Jeffrey DeMunn;Larry Brandenburg;Neil Giuntoli;Brian Libby;David Proval;Joseph Ragno;Jude Ciccolella,,"1,551,277"
The Godfather,175 min, Crime; Drama,Francis Ford Coppola,Mario Puzo;Francis Ford Coppola;Paramount Pictures;Alfran Productions,Marlon Brando;Al Pacino;James Caan;Richard S. Castellano;Robert Duvall;Sterling Hayden;John Marley;Richard Conte;Al Lettieri;Diane Keaton;Abe Vigoda;Talia Shire;Gianni Russo;John Cazale;Rudy Bond,,"1,061,941"
The Godfather: Part II,220 min, Crime; Drama,Francis Ford Coppola,Francis Ford Coppola;Mario Puzo;Paramount Pictures;The Coppola Company,Al Pacino;Robert Duvall;Diane Keaton;Robert De Niro;John Cazale;Talia Shire;Lee Strasberg;Michael V. Gazzo;G.D. Spradlin;Richard Bright;Gastone Moschin;Tom Rosqui;Bruno Kirby;Frank Sivero;Francesca De Sapio,,"719,164"
The Dark Knight,152 min, Action; Crime; Drama,Christopher Nolan,Jonathan Nolan;Christopher Nolan;Warner Bros.;Legendary Pictures;Syncopy,Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;Maggie Gyllenhaal;Gary Oldman;Morgan Freeman;Monique Gabriela Curnen;Ron Dean;Cillian Murphy;Chin Han;Nestor Carbonell;Eric Roberts;Ritchie Coster;Anthony Michael Hall,,"1,526,536"
12 Angry Men,96 min, Crime; Drama,Sidney Lumet,Reginald Rose;Orion-Nova Productions,Martin Balsam;John Fiedler;Lee J. Cobb;E.G. Marshall;Jack Klugman;Edward Binns;Jack Warden;Henry Fonda;Joseph Sweeney;Ed Begley;George Voskovec;Robert Webber,,"402,284"
Schindler's List,185 min, Biography; Drama; History,Steven Spielberg,Thomas Keneally;Steven Zaillian;Universal Pictures;Amblin Entertainment,Liam Neeson;Ben Kingsley;Ralph Fiennes;Caroline Goodall;Jonathan Sagall;Embeth Davidtz;Malgorzata Gebel;Shmuel Levy;Mark Ivanir;Béatrice Macola;Andrzej Seweryn;Friedrich von Thun;Krzysztof Luft;Harry Nehring;Norbert Weisser,,"789,813"
Pulp Fiction,178 min, Crime; Drama,Quentin Tarantino,Quentin Tarantino;Roger Avary;Miramax;A Band Apart;Jersey Films,Tim Roth;Laura Lovelace;John Travolta;Samuel L. Jackson;Phil LaMarr;Amanda Plummer;Burr Steers;Bruce Willis;Ving Rhames;Rosanna Arquette;Paul Calderon;Bronagh Gallagher;Frank Whaley;Eric Stoltz;Uma Thurman,,"1,209,061"
"Il buono, il brutto, il cattivo",142 min, Western,Sergio Leone,"Luciano Vincenzoni;Sergio Leone;Produzioni Europee Associati (PEA);Arturo González Producciones Cinematográficas, S.A;Constantin Film Produktion",Eli Wallach;Clint Eastwood;Lee Van Cleef;Aldo Giuffrè;Luigi Pistilli;Rada Rassimov;Enzo Petito;Claudio Scarchilli;John Bartha;Livio Lorenzon;Antonio Casale;Sandro Scarchilli;Benito Stefanelli;Angelo Novi;Antonio Casas,,"463,322"
The Lord of the Rings: The Return of the King,263 min, Adventure; Fantasy,Peter Jackson,J.R.R. Tolkien;Fran Walsh;New Line Cinema;WingNut Films;The Saul Zaentz Company,Noel Appleby;Ali Astin;Sean Astin;David Aston;John Bach;Sean Bean;Cate Blanchett;Orlando Bloom;Billy Boyd;Sadwyn Brophy;Alistair Browning;Marton Csokas;Richard Edge;Jason Fitch;Bernard Hill,,"1,112,505"
Fight Club,151 min, Drama,David Fincher,Chuck Palahniuk;Jim Uhls;Fox 2000 Pictures;Regency Enterprises;Linson Films,Edward Norton;Brad Pitt;Helena Bonham Carter;Meat Loaf;Zach Grenier;Richmond Arquette;David Andrews;George Maguire;Eugenie Bondurant;Christina Cabot;Sydney 'Big Dawg' Colston;Rachel Singer;Christie Cronenweth;Tim DeZarn;Ezra Buzzington,,"1,224,752"
