rank,country,exp,being,foot,index
109,Afghanistan,48.7,4.8,0.54,36.8
18,Albania,76.9,5.3,1.81,54.1
26,Algeria,73.1,5.2,1.65,52.2
127,Angola,51.1,4.2,0.89,33.2
17,Argentina,75.9,6.4,2.71,54.1
53,Armenia,74.2,4.4,1.73,46.0
76,Australia,81.9,7.4,6.68,42.0
48,Austria,80.9,7.3,5.29,47.1
80,Azerbaijan,70.7,4.2,1.97,40.9
146,Bahrain,75.1,4.5,6.65,26.6
11,Bangladesh,68.9,5.0,0.66,56.3
103,Belarus,70.3,5.5,3.99,37.4
107,Belgium,80.0,6.9,7.11,37.1
4,Belize,76.1,6.5,2.11,59.3
132,Benin,56.1,3.7,1.36,31.1
64,Bolivia,66.6,5.8,2.61,43.6
74,Bosnia and Herzegovina,75.7,4.7,2.74,42.4
151,Botswana,53.2,3.6,2.84,22.6
21,Brazil,73.5,6.8,2.93,52.9
123,Bulgaria,73.4,4.2,3.56,34.1
129,Burkina Faso,55.4,4.0,1.53,31.8
135,Burundi,50.4,3.8,0.85,30.5
85,Cambodia,63.1,4.2,1.19,40.3
124,Cameroon,51.6,4.4,1.09,33.7
65,Canada,81.0,7.7,6.43,43.6
148,Central African Republic,48.4,3.6,1.36,25.3
150,Chad,49.6,3.7,1.89,24.7
19,Chile,79.1,6.6,3.24,53.9
60,China,73.5,4.7,2.13,44.7
3,Colombia,73.7,6.4,1.80,59.8
112,Comoros,61.1,3.9,1.30,36.5
121,Congo,57.4,3.8,1.08,34.5
134,Congo. Dem. Rep. of the,48.4,4.0,0.76,30.5
1,Costa Rica,79.3,7.3,2.52,64.0
113,Cote d'Ivoire,55.4,4.2,0.99,35.9
82,Croatia,76.6,5.6,4.19,40.6
12,Cuba,79.1,5.4,1.90,56.2
59,Cyprus,79.6,6.4,4.44,45.5
92,Czech Republic,77.7,6.2,5.27,39.4
110,Denmark,78.8,7.8,8.25,36.6
106,Djibouti,57.9,5.0,1.85,37.2
33,Dominican Republic,73.4,4.7,1.42,50.7
23,Ecuador,75.6,5.8,2.37,52.5
91,Egypt,73.2,3.9,2.06,39.6
5,El Salvador,72.2,6.7,1.99,58.9
117,Estonia,74.8,5.1,4.73,34.9
94,Ethiopia,59.3,4.4,1.13,39.2
70,Finland,80.0,7.4,6.21,42.7
50,France,81.5,6.8,4.91,46.5
55,Georgia,73.7,4.1,1.43,46.0
46,Germany,80.4,6.7,4.57,47.2
86,Ghana,64.2,4.6,1.74,40.3
83,Greece,79.9,5.8,4.92,40.5
10,Guatemala,71.2,6.3,1.78,56.9
137,Guinea,54.1,4.0,1.72,30.0
31,Guyana,69.9,6.0,2.08,51.2
78,Haiti,62.1,3.8,0.60,41.3
13,Honduras,73.1,5.9,1.73,56.0
102,Hong Kong,82.8,5.6,5.81,37.5
104,Hungary,74.4,4.7,3.59,37.4
88,Iceland,81.8,6.9,6.54,40.2
32,India,65.4,5.0,0.87,50.9
14,Indonesia,69.4,5.5,1.13,55.5
77,Iran,73.0,4.8,2.66,41.7
36,Iraq,69.0,5.0,1.42,49.2
73,Ireland,80.6,7.3,6.22,42.4
15,Israel,81.6,7.4,3.96,55.2
51,Italy,81.9,6.4,4.52,46.4
6,Jamaica,73.1,6.2,1.72,58.5
45,Japan,83.4,6.1,4.17,47.5
27,Jordan,73.4,5.7,2.13,51.7
119,Kazakhstan,67.0,5.5,4.14,34.7
98,Kenya,57.1,4.3,0.95,38.0
63,Korea,80.6,6.1,4.62,43.8
143,Kuwait,74.6,6.6,9.72,27.1
38,Kyrgyzstan,67.7,5.0,1.29,49.1
37,Laos,67.5,5.0,1.30,49.1
118,Latvia,73.3,4.7,3.95,34.9
69,Lebanon,72.6,5.2,2.85,42.9
116,Liberia,56.8,4.2,1.28,35.2
81,Libya,74.8,4.9,3.19,40.8
120,Lithuania,72.2,5.1,4.38,34.6
138,Luxembourg,80.0,7.1,10.72,29.0
140,Macedonia,74.8,4.2,5.36,28.3
49,Madagascar,66.7,4.6,1.16,46.8
72,Malawi,54.2,5.1,0.78,42.5
84,Malaysia,74.2,5.6,3.90,40.5
147,Mali,51.4,3.8,1.86,26.0
66,Malta,79.6,5.8,4.26,43.1
128,Mauritania,58.6,5.0,2.86,32.3
111,Mauritius,73.4,5.5,4.55,36.6
22,Mexico,77.0,6.8,3.30,52.9
40,Moldova,69.3,5.6,2.10,48.0
145,Mongolia,68.5,4.6,5.53,26.8
42,Morocco,72.2,4.4,1.32,47.9
114,Mozambique,50.2,4.7,0.78,35.7
61,Myanmar,65.2,5.3,1.94,44.2
96,Namibia,62.5,4.9,2.03,38.9
58,Nepal,68.8,3.8,0.76,45.6
67,Netherlands,80.7,7.5,6.34,43.1
28,New Zealand,80.7,7.2,4.31,51.6
8,Nicaragua,74.0,5.7,1.56,57.1
144,Niger,54.7,4.1,2.59,26.8
125,Nigeria,51.9,4.8,1.44,33.6
29,Norway,81.1,7.6,4.77,51.4
16,Pakistan,65.4,5.3,0.75,54.1
30,Palestine,72.8,4.8,1.40,51.2
7,Panama,76.1,7.3,2.97,57.8
57,Paraguay,72.5,5.8,2.99,45.8
24,Peru,74.0,5.6,2.03,52.4
25,Philippines,68.7,4.9,0.98,52.4
71,Poland,76.1,5.8,3.94,42.6
97,Portugal,79.5,4.9,4.12,38.7
149,Qatar,78.4,6.6,11.68,25.2
75,Romania,74.0,4.9,2.84,42.2
122,Russia,68.8,5.5,4.40,34.5
108,Rwanda,55.4,4.0,0.71,36.9
56,Saudi Arabia,73.9,6.7,3.99,46.0
126,Senegal,59.3,3.8,1.53,33.3
79,Serbia,74.5,4.5,2.57,41.3
139,Sierra Leone,47.8,4.1,1.13,28.8
90,Singapore,81.1,6.5,6.10,39.8
89,Slovakia,75.4,6.1,4.66,40.1
87,Slovenia,79.3,6.1,5.21,40.2
142,South Africa,52.8,4.7,2.59,28.2
62,Spain,81.4,6.2,4.74,44.1
35,Sri Lanka,74.9,4.2,1.21,49.4
101,Sudan,61.5,4.4,1.63,37.6
52,Sweden,81.4,7.5,5.71,46.2
34,Switzerland,82.3,7.5,5.01,50.3
47,Syria,75.9,4.1,1.45,47.1
43,Tajikistan,67.5,4.4,0.90,47.8
133,Tanzania,58.2,3.2,1.19,30.7
20,Thailand,74.1,6.2,2.41,53.5
141,Togo,57.1,2.8,1.03,28.2
136,Trinidad and Tobago,70.1,6.7,7.56,30.3
39,Tunisia,74.5,4.7,1.76,48.3
44,Turkey,74.0,5.5,2.55,47.6
95,Turkmenistan,65.0,6.6,3.98,39.1
131,Uganda,54.1,4.2,1.57,31.5
100,Ukraine,68.5,5.1,3.19,37.6
130,United Arab Emirates,76.5,7.2,8.88,31.8
41,United Kingdom,80.2,7.0,4.71,47.9
105,United States of America,78.5,7.2,7.19,37.3
93,Uruguay,77.0,6.1,5.08,39.3
54,Uzbekistan,68.3,5.1,1.82,46.0
