Belize11,12;93,9;8,4;2,8
Qatar12;54,7;54,7;55,5
Guyana12;52,5;5,6;2
Malaysia12;37,2;6,8;5,7
United Arab Emirates1;36,8;36,8;38,8
Kuwait;30,4;30,4;35
Papua New Guinea2,12,;29,2;1,7;0,7
Brunei1,12;25,9;25,9;13,9
Australia;25,9;25,6;26,9
Antigua & Barbuda1,12;25,3;25,3;5,1
Zambia12;24,6;2,6;0,2
Canada;24,3;22,2;22,6
Bahrain 12;23,9;23,9;25,4
United States3;22,9;24,3;23,5
Trinidad & Tobago1,12;22,1;22,1;19,6
Luxembourg1;21,2;21,2;27,5
Panama12;19,7;3,6;1,9
New Zealand;19,3;18,5;18,8
Estonia;18,2;16,6;14,4
Botswana12;17,8;6,5;2,3
Ireland;16,8;17,3;16,7
Saudi Arabia;16,5;16,5;16,2
Venezuela;15,8;9,9;10
Indonesia;14,9;2,4;2,7
Equatorial Guinea12;14,5;4,6;6,7
Belgium1;14,3;14,3;13,2
Turkmenistan1;14,2;14,2;18,9
Singapore;14,1;14,1;11,3
Czech Republic;13,9;13,9;13,7
Liberia 12;13,9;1;0,1
Netherlands4;13,5;13,5;13,8
Russia;13,5;13,1;13,7
Nicaragua 12;13,4;2,5;0,8
Finland;13,1;13,3;13
Oman 12;12,9;12,9;12
Palau1,12;12,8;12,8;5,7
Brazil;12,8;4,9;5,4
Denmark5;12,5;12,5;11,5
Germany;12,3;12,3;11,9
Mongolia;11,8;11,6;11,9
Israel;11,8;11,8;11,5
Nauru1,12;11,7;11,7;11
Norway;11,4;12,1;11,2
South Korea;11,1;11;11,4
Kazakhstan1;11;11;12,7
United Kingdom of Great Britain and Northern Ireland;11;11;10,6
Libya12;10,8;10,6;8,3
Greece;10,8;11;11,5
Japan;10,7;10,7;10,5
Myanmar;10,7;1,7;2,2
Taiwan12;10,6;10,6;11,8
Cyprus12;10,3;10,2;10,5
Slovenia;10,2;9,7;10,1
Cambodia;10,2;5,8;1,6
Austria;10;10,1;11,5
Iceland1;10;10;11,1
Peru;9,9;2,7;2,8
Paraguay12;9,9;6,1;0,6
Ukraine1;9,8;9,8;10,3
Poland;9,6;9,6;9,8
South Africa;9,5;9,5;9
Argentina;9,3;7,8;8,2
Slovakia;9,3;8,7;9,3
Spain6;9,2;9,4;10,1
Italy7;9,2;9,2;9,7
Central African Republic12;9;6,7;0,1
France8;8,7;8,8;9
Suriname12;8,6;8,6;5,3
Belarus;8,6;8;8,5
Gabon12;8,4;5,5;3,7
Ecuador;8,2;3,4;3,3
Bolivia;8,1;3,5;6,9
Cameroon12;7,6;2,4;0,4
Iran;7,6;7,5;8,2
C�te d'Ivoire12;7,5;2;0,4
Sweden;7,5;7,5;7,4
Seychelles1,2,12;7,4;7,4;7
Guatemala12;7,4;2,4;0,9
Bulgaria;7,4;7,7;8,6
Serbia & Montenegro12;7,4;7,4;4,8
Hungary;7,4;7,4;8,3
Congo, Dem. Rep.;7,4;1;1,6
Uzbekistan1,12;7,3;7,3;6,9
Portugal9;7,2;7,8;7,9
Switzerland10;7,1;7,2;7,3
Azerbaijan;6,8;6,8;5,6
Angola12;6,7;5,4;1,3
Bahamas12;6,6;6,6;6,5
Benin12;6,5;1,4;0,3
Zimbabwe12;6,5;2,7;0,8
Laos;6,4;1,9;3,1
Mexico;6,4;5,4;6,1
Nepal;6,3;1,3;1,5
